open,high,low,close,volume,vwap,timestamp,transactions,otc
122.6,122.8,122.5605,122.73,54530,122.7046,1738193160000,393,
122.73,122.73,122.54,122.55,53035,122.6673,1738193220000,397,
122.53,122.65,122.39,122.47,69877,122.5018,1738193280000,625,
122.5,122.5,122.41,122.45,33753,122.4825,1738193340000,353,
122.45,122.55,122.4,122.5,36772,122.4862,1738193400000,296,
122.55,122.75,122.5499,122.75,49965,122.6797,1738193460000,348,
122.75,122.8,122.711,122.77,37609,122.757,1738193520000,300,
122.76,122.77,122.7,122.75,31694,122.7431,1738193580000,334,
122.75,122.76,122.47,122.54,42552,122.5754,1738193640000,642,
122.69,122.76,122.66,122.7,31021,122.7173,1738193700000,251,
122.7135,122.78,122.7,122.73,24549,122.7333,1738193760000,281,
122.7,122.72,122.5505,122.64,60277,122.6185,1738193820000,383,
122.6122,122.66,122.4998,122.4998,46786,122.5581,1738193880000,533,
122.5,122.5,122.43,122.5,48815,122.4778,1738193940000,577,
122.5,122.5,122.44,122.49,30255,122.4808,1738194000000,373,
122.49,122.5,122.41,122.5,51456,122.475,1738194060000,408,
122.4996,122.63,122.44,122.6,46217,122.5538,1738194120000,390,
122.59,122.6,122.3,122.43,65893,122.4757,1738194180000,660,
122.3105,122.43,122.18,122.21,95340,122.2451,1738194240000,1102,
122.2007,122.5,122.2001,122.46,32578,122.3746,1738194300000,344,
122.46,122.51,122.1,122.3,61832,122.3631,1738194360000,553,
122.3,122.3,122.2,122.24,55270,122.2484,1738194420000,482,
122.24,122.24,122,122.1,191053,122.1104,1738194480000,2024,
122.17,122.17,121.8,121.98,161310,121.984,1738194540000,1566,
121.9899,122,121.9,121.9002,57824,121.9399,1738194600000,532,
121.92,121.94,121.66,121.7,102113,121.7801,1738194660000,1150,
121.6806,121.7,121.61,121.64,86451,121.6613,1738194720000,787,
121.63,122.1,121.6,122.0899,113883,121.8823,1738194780000,747,
122.089,122.089,121.77,121.89,46466,121.937,1738194840000,452,
121.89,121.91,121.7,121.74,47751,121.7938,1738194900000,502,
121.71,121.75,121.55,121.56,83576,121.6487,1738194960000,1320,
121.59,121.89,121.5701,121.8522,40579,121.7507,1738195020000,413,
121.88,122.09,121.8,121.979,49306,121.9195,1738195080000,435,
121.95,121.98,121.75,121.8697,39068,121.8587,1738195140000,478,
121.79,122.1496,121.79,121.93,56949,122.0065,1738195200000,376,
121.98,122.15,121.85,122.052,26787,122.0094,1738195260000,310,
122.14,122.16,122,122.14,27753,122.0918,1738195320000,297,
122.062,122.14,122,122.11,28200,122.0749,1738195380000,287,
122.11,122.2883,122.1,122.15,31956,122.2013,1738195440000,294,
122.15,122.15,121.951,122,38673,122.018,1738195500000,479,
121.9998,122.1,121.9805,122.0004,28736,122.0056,1738195560000,414,
122.09,122.0983,121.94,121.99,36104,121.9943,1738195620000,386,
122,122.16,121.9805,122,20709,122.0345,1738195680000,304,
122,122.1,121.98,122.04,23460,122.0293,1738195740000,237,
122.05,122.05,121.9213,121.95,24499,121.9861,1738195800000,377,
121.95,122.03,121.94,122,22612,121.9587,1738195860000,321,
121.9886,122.1,121.88,122.1,58126,121.9505,1738195920000,628,
122.08,122.15,122.03,122.14,16645,122.0995,1738195980000,225,
122.15,122.25,122.12,122.25,15176,122.174,1738196040000,240,
122.2499,122.25,122.11,122.2,21479,122.1794,1738196100000,304,
122.2,122.3,122.2,122.3,26808,122.2681,1738196160000,267,
122.3,122.5,122.26,122.44,47220,122.3902,1738196220000,323,
122.4,122.46,122.28,122.39,21154,122.3976,1738196280000,277,
122.39,122.44,122.31,122.44,18503,122.3942,1738196340000,255,
122.4394,122.49,122.25,122.36,30975,122.3672,1738196400000,412,
122.4,122.46,122.253,122.46,19703,122.3939,1738196460000,248,
122.46,122.5,122.38,122.4205,29539,122.4423,1738196520000,246,
122.5,122.5,122.41,122.48,27922,122.4774,1738196580000,246,
122.4499,122.66,122.4499,122.6307,61139,122.5672,1738196640000,424,
122.64,122.75,122.58,122.75,38831,122.6766,1738196700000,458,
122.75,122.7899,122.67,122.67,33765,122.7516,1738196760000,384,
122.66,122.74,122.6,122.6492,32083,122.6733,1738196820000,338,
122.63,122.63,122.58,122.6109,14237,122.6011,1738196880000,249,
122.65,122.65,122.25,122.25,62806,122.5383,1738196940000,695,
122.45,122.58,122.45,122.55,18675,122.5065,1738197000000,231,
122.55,122.58,122.52,122.57,16144,122.5648,1738197060000,184,
122.55,122.58,122.5,122.55,8867,122.5412,1738197120000,187,
122.57,122.65,122.56,122.63,27656,122.608,1738197180000,238,
122.63,122.64,122.5615,122.5993,22133,122.6014,1738197240000,202,
122.6,122.6,122.56,122.5701,14526,122.5715,1738197300000,171,
122.58,122.7,122.58,122.6312,65163,122.6374,1738197360000,293,
122.68,122.7395,122.64,122.73,19873,122.7053,1738197420000,211,
122.73,122.82,122.73,122.8,53957,122.7686,1738197480000,341,
122.8,122.88,122.8,122.84,30989,122.8364,1738197540000,252,
122.88,122.97,122.87,122.92,40493,122.9116,1738197600000,418,
122.9,122.93,122.85,122.8701,28216,122.9004,1738197660000,275,
122.8895,122.8895,122.8,122.85,20261,122.8451,1738197720000,265,
122.84,122.85,122.78,122.78,19636,122.8212,1738197780000,306,
122.8002,122.82,122.73,122.76,23675,122.7674,1738197840000,231,
122.75,122.84,122.73,122.76,23805,122.7898,1738197900000,406,
122.79,122.85,122.7101,122.78,25346,122.7711,1738197960000,213,
122.751,122.8,122.71,122.77,17244,122.7617,1738198020000,223,
122.8,122.86,122.76,122.85,33070,122.8136,1738198080000,261,
122.85,122.93,122.84,122.8805,32060,122.8992,1738198140000,268,
122.9,123,122.8812,122.97,52935,122.9634,1738198200000,450,
122.96,123,122.95,122.9699,22973,122.9795,1738198260000,285,
122.97,123.08,122.9498,123.0002,74903,122.9938,1738198320000,497,
